Артикул;Категория;Название акции;Цена;Дата начала;Дата окончания
0779/40/1112;;Знижка;2200;;
0779/42/1112;;Знижка;2200;;
0779/44/1112;;Знижка;2200;;
0779/46/1112;;Знижка;2200;;
0779/48/1112;;Знижка;2200;;
0779/50/1112;;Знижка;2200;;
0779/40/1367;;Знижка;2200;;
0779/42/1367;;Знижка;2200;;
0779/44/1367;;Знижка;2200;;
0779/46/1367;;Знижка;2200;;
0779/48/1367;;Знижка;2200;;
0779/50/1367;;Знижка;2200;;
0779/40/1370;;Знижка;2200;;
0779/42/1370;;Знижка;2200;;
0779/44/1370;;Знижка;2200;;
0779/46/1370;;Знижка;2200;;
0779/48/1370;;Знижка;2200;;
0779/50/1370;;Знижка;2200;;
0779/40/330;;Знижка;2200;;
0779/42/330;;Знижка;2200;;
0779/44/330;;Знижка;2200;;
0779/46/330;;Знижка;2200;;
0779/48/330;;Знижка;2200;;
0779/50/330;;Знижка;2200;;
0779/40/898;;Знижка;2200;;
0779/42/898;;Знижка;2200;;
0779/44/898;;Знижка;2200;;
0779/46/898;;Знижка;2200;;
0779/48/898;;Знижка;2200;;
0779/50/898;;Знижка;2200;;
0791/42/101;;Знижка;1190;;
0791/44/101;;Знижка;1190;;
0791/46/101;;Знижка;1190;;
0791/48/101;;Знижка;1190;;
0791/50/101;;Знижка;1190;;
0791/42/403;;Знижка;1190;;
0791/44/403;;Знижка;1190;;
0791/46/403;;Знижка;1190;;
0791/48/403;;Знижка;1190;;
0791/50/403;;Знижка;1190;;
0791/42/753;;Знижка;1190;;
0791/44/753;;Знижка;1190;;
0791/46/753;;Знижка;1190;;
0791/48/753;;Знижка;1190;;
0791/50/753;;Знижка;1190;;
0791/42/999;;Знижка;1190;;
0791/44/999;;Знижка;1190;;
0791/46/999;;Знижка;1190;;
0791/48/999;;Знижка;1190;;
0791/50/999;;Знижка;1190;;
0798/42/1309;;Знижка;590;;
0798/44/1309;;Знижка;590;;
0798/46/1309;;Знижка;590;;
0798/48/1309;;Знижка;590;;
0798/50/1309;;Знижка;590;;
0798/52/1309;;Знижка;590;;
0798/54/1309;;Знижка;590;;
0798/42/474;;Знижка;590;;
0798/44/474;;Знижка;590;;
0798/46/474;;Знижка;590;;
0798/48/474;;Знижка;590;;
0798/50/474;;Знижка;590;;
0798/52/474;;Знижка;590;;
0798/54/474;;Знижка;590;;
0798/42/504;;Знижка;590;;
0798/44/504;;Знижка;590;;
0798/46/504;;Знижка;590;;
0798/48/504;;Знижка;590;;
0798/50/504;;Знижка;590;;
0798/52/504;;Знижка;590;;
0798/54/504;;Знижка;590;;
0798/42/908;;Знижка;590;;
0798/44/908;;Знижка;590;;
0798/46/908;;Знижка;590;;
0798/48/908;;Знижка;590;;
0798/50/908;;Знижка;590;;
0798/52/908;;Знижка;590;;
0798/54/908;;Знижка;590;;
0798/42/753;;Знижка;590;;
0798/44/753;;Знижка;590;;
0798/46/753;;Знижка;590;;
0798/48/753;;Знижка;590;;
0798/50/753;;Знижка;590;;
0798/52/753;;Знижка;590;;
0798/54/753;;Знижка;590;;
0825/48/1309;;Знижка;790;;
0825/50/1309;;Знижка;790;;
0825/52/1309;;Знижка;790;;
0825/54/1309;;Знижка;790;;
0825/56/1309;;Знижка;790;;
0825/58/1309;;Знижка;790;;
0825/60/1309;;Знижка;790;;
0825/48/428;;Знижка;790;;
0825/50/428;;Знижка;790;;
0825/52/428;;Знижка;790;;
0825/54/428;;Знижка;790;;
0825/56/428;;Знижка;790;;
0825/58/428;;Знижка;790;;
0825/60/428;;Знижка;790;;
0825/48/908;;Знижка;790;;
0825/50/908;;Знижка;790;;
0825/52/908;;Знижка;790;;
0825/54/908;;Знижка;790;;
0825/56/908;;Знижка;790;;
0825/58/908;;Знижка;790;;
0825/60/908;;Знижка;790;;
0639/42/224;;Знижка;690;;
0639/44/224;;Знижка;690;;
0639/46/224;;Знижка;690;;
0639/48/224;;Знижка;690;;
0639/50/224;;Знижка;690;;
0639/52/224;;Знижка;690;;
0639/54/224;;Знижка;690;;
0639/42/420;;Знижка;690;;
0639/44/420;;Знижка;690;;
0639/46/420;;Знижка;690;;
0639/48/420;;Знижка;690;;
0639/50/420;;Знижка;690;;
0639/52/420;;Знижка;690;;
0639/54/420;;Знижка;690;;
0639/42/61;;Знижка;690;;
0639/44/61;;Знижка;690;;
0639/46/61;;Знижка;690;;
0639/48/61;;Знижка;690;;
0639/50/61;;Знижка;690;;
0639/52/61;;Знижка;690;;
0639/54/61;;Знижка;690;;
0639/42/999;;Знижка;690;;
0639/44/999;;Знижка;690;;
0639/46/999;;Знижка;690;;
0639/48/999;;Знижка;690;;
0639/42/101;;Знижка;690;;
0639/44/101;;Знижка;690;;
0639/46/101;;Знижка;690;;
0639/48/101;;Знижка;690;;
0639/50/101;;Знижка;690;;
0639/52/101;;Знижка;690;;
0639/54/101;;Знижка;690;;
0639/42/1192;;Знижка;690;;
0639/44/1192;;Знижка;690;;
0639/46/1192;;Знижка;690;;
0639/48/1192;;Знижка;690;;
0639/50/1192;;Знижка;690;;
0639/52/1192;;Знижка;690;;
0639/54/1192;;Знижка;690;;
0639/42/1199;;Знижка;690;;
0639/44/1199;;Знижка;690;;
0639/46/1199;;Знижка;690;;
0639/48/1199;;Знижка;690;;
0639/50/1199;;Знижка;690;;
0639/52/1199;;Знижка;690;;
0639/54/1199;;Знижка;690;;
0639/42/898;;Знижка;690;;
0639/44/898;;Знижка;690;;
0639/46/898;;Знижка;690;;
0639/48/898;;Знижка;690;;
0639/50/898;;Знижка;690;;
0639/52/898;;Знижка;690;;
0639/54/898;;Знижка;690;;
0662/42/359;;Знижка;690;;
0662/44/359;;Знижка;690;;
0662/46/359;;Знижка;690;;
0662/48/359;;Знижка;690;;
0662/50/359;;Знижка;690;;
0662/52/359;;Знижка;690;;
0662/54/359;;Знижка;690;;
0662/42/101;;Знижка;690;;
0662/44/101;;Знижка;690;;
0662/46/101;;Знижка;690;;
0662/48/101;;Знижка;690;;
0662/50/101;;Знижка;690;;
0662/52/101;;Знижка;690;;
0662/54/101;;Знижка;690;;
0662/42/77;;Знижка;690;;
0662/44/77;;Знижка;690;;
0662/46/77;;Знижка;690;;
0662/48/77;;Знижка;690;;
0662/50/77;;Знижка;690;;
0662/52/77;;Знижка;690;;
0662/54/77;;Знижка;690;;
0662/42/495;;Знижка;690;;
0662/44/495;;Знижка;690;;
0662/46/495;;Знижка;690;;
0662/48/495;;Знижка;690;;
0662/50/495;;Знижка;690;;
0662/52/495;;Знижка;690;;
0662/54/495;;Знижка;690;;
0662/42/916;;Знижка;690;;
0662/44/916;;Знижка;690;;
0662/46/916;;Знижка;690;;
0662/48/916;;Знижка;690;;
0662/50/916;;Знижка;690;;
0662/52/916;;Знижка;690;;
0662/54/916;;Знижка;690;;
0662/42/753;;Знижка;690;;
0662/44/753;;Знижка;690;;
0662/46/753;;Знижка;690;;
0662/48/753;;Знижка;690;;
0662/50/753;;Знижка;690;;
0662/52/753;;Знижка;690;;
0662/54/753;;Знижка;690;;
0790/42/101;;Знижка;890;;
0790/44/101;;Знижка;890;;
0790/46/101;;Знижка;890;;
0790/48/101;;Знижка;890;;
0790/50/101;;Знижка;890;;
0790/52/101;;Знижка;890;;
0790/54/101;;Знижка;890;;
0790/42/1149;;Знижка;890;;
0790/44/1149;;Знижка;890;;
0790/46/1149;;Знижка;890;;
0790/48/1149;;Знижка;890;;
0790/50/1149;;Знижка;890;;
0790/52/1149;;Знижка;890;;
0790/54/1149;;Знижка;890;;
0790/42/1364;;Знижка;890;;
0790/44/1364;;Знижка;890;;
0790/46/1364;;Знижка;890;;
0790/48/1364;;Знижка;890;;
0790/50/1364;;Знижка;890;;
0790/52/1364;;Знижка;890;;
0790/54/1364;;Знижка;890;;
0790/42/21;;Знижка;890;;
0790/44/21;;Знижка;890;;
0790/46/21;;Знижка;890;;
0790/48/21;;Знижка;890;;
0790/50/21;;Знижка;890;;
0790/52/21;;Знижка;890;;
0790/54/21;;Знижка;890;;
0790/42/325;;Знижка;890;;
0790/44/325;;Знижка;890;;
0790/46/325;;Знижка;890;;
0790/48/325;;Знижка;890;;
0790/50/325;;Знижка;890;;
0790/52/325;;Знижка;890;;
0790/54/325;;Знижка;890;;
0790/42/394;;Знижка;890;;
0790/44/394;;Знижка;890;;
0790/46/394;;Знижка;890;;
0790/48/394;;Знижка;890;;
0790/50/394;;Знижка;890;;
0790/52/394;;Знижка;890;;
0790/54/394;;Знижка;890;;
0790/42/403;;Знижка;890;;
0790/44/403;;Знижка;890;;
0790/46/403;;Знижка;890;;
0790/48/403;;Знижка;890;;
0790/50/403;;Знижка;890;;
0790/52/403;;Знижка;890;;
0790/54/403;;Знижка;890;;
