Артикул;Название;Цвет;Категория;Описание;Состав;Размер;Цена;Изображение;Основной цвет;Коллекция;Группа;Тема;Название акции;Скидка
0779/40/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/42/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/44/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/46/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/48/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/50/1112;Сукня “Мрія”;червона;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1112.JPG;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/40/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/42/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/44/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/46/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/48/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/50/1367;Сукня “Мрія”;темно-синя;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-40-1367.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/40/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/42/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/44/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/46/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/48/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/50/1370;Сукня “Мрія”;голуба;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-1370.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/40/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;*****;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/42/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/44/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/46/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/48/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/50/330;Сукня “Мрія”;сіра;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-330.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/40/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/42/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/44/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/46/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/48/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0779/50/898;Сукня “Мрія”;зелена;Одяг/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі «фолк», з елементами вишивки по народним українським мотивам. Силует прилеглий. По талії підріз та є пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами зпереду і ззаду. Довжина рукава 57 см. Довжина сукні 126 см.;100% льон;;2590;0779-898.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;2200
0791/42/101;Сукня “Лілі”;біла;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-101.jpg,0791.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/44/101;Сукня “Лілі”;біла;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-101.jpg,0791.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
