Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
03-00/030/000/76;Грілка на чайник "Сонях";Домашній текстиль/Для кухні/Чохли для чайників;Грілка на чайник "Сонях";100% льон;;119;grilka_na_chajnuk_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
03-00/041/000/76;Грілка на чайник "Калина";Домашній текстиль/Для кухні/Чохли для чайників;Грілка на чайник "Калина";100% льон;;119;grilka_na_chajnuk_kolekciai_kaluna.jpg;Національна традиція;Калина;;
03-00/119/000/76;Грілка на чайник "Маки";Домашній текстиль/Для кухні/Чохли для чайників;Грілка на чайник "Маки";100% льон;;119;grilka_na_chajnuk_kolekciai_maku.jpg;Національна традиція;Маки;;
04-00/020/000/76;Рукавичка "Україна";Домашній текстиль/Для кухні/Прихватки;Рукавичка "Україна";100% льон;19х20 см;119;04-00-020-000-76.jpg,rykavuchka_ukraine2.jpg;Національна традиція;Я люблю Україну;;
04-00/030/000/76;Прихватка кухонна з вишивкою "Сонях";Домашній текстиль/Для кухні/Прихватки;Прихватка кухонна з вишивкою "Сонях";100% льон;;119;pruxvatka_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
04-00/041/000/76;Прихватка кухонна з вишивкою "Калина";Домашній текстиль/Для кухні/Прихватки;Прихватка кухонна з вишивкою "Калина";100% льон;;119;pruxvatka_kolekciai_kaluna.jpg;Національна традиція;Калина;;
04-00/071/000/76;Прихватка кухонна з вишивкою "Гарбуз";Домашній текстиль/Для кухні/Прихватки;Прихватка кухонна з вишивкою "Гарбуз";100% льон;;119;rykgarb.jpg;Національна традиція;Хелсі фуд;;
04-00/119/000/76;Прихватка кухонна з вишивкою "Маки";Домашній текстиль/Для кухні/Прихватки;Прихватка кухонна з вишивкою "Маки";100% льон;;119;pruxvatka_kolekciai_maku.jpg;Національна традиція;Маки;;
10-00/030/000/76;Фартух кухонний  з вишивкою колекції "Сонях";Домашній текстиль/Для кухні/Фартухи;Фартух кухонний  з вишивкою колекції "Сонях";100% льон;;219;fartyx_kolekciai_sonaix.jpg;Національна традиція;Соняхи;;
10-00/041/000/76;Фартух кухонний  з вишивкою колекції "Калина";Домашній текстиль/Для кухні/Фартухи;Фартух кухонний  з вишивкою колекції "Калина";100% льон;;219;fartyx_kolekciai_kaluna.jpg;Національна традиція;Калина;;
10-00/071/000/76;Фартух кухонний  з вишивкою колекції "Гарбуз";Домашній текстиль/Для кухні/Фартухи;Фартух кухонний  з вишивкою колекції "Гарбуз";100% льон;;219;fartgarb1.jpg,fartgarb2.jpg;Національна традиція;Хелсі фуд;;
10-00/072/000/76;Фартух кухонний  з вишивкою колекції "Бон апетіт";Домашній текстиль/Для кухні/Фартухи;Фартух кухонний  з вишивкою колекції "Бон апетіт";100% льон;;219;fartgoroh.jpg;Кухонний текстиль;Бон апетіт;;
10-00/078/000/76;Фартух чоловічий “Мисливець”;Домашній текстиль/Для кухні/Фартухи;Фартух чоловічий з вишивкою “Мисливець”;100% льон;;219;10-00-078-000-76.JPG,P1170861.JPG;Кухонний текстиль;;;
10-00/079/000/76;Фартух чоловічий “Рибалка”;Домашній текстиль/Для кухні/Фартухи;Фартух чоловічий з вишивкою “Рибалка”;100% льон;;219;10-00-079-000-76.jpg,p1170864.jpg;Кухонний текстиль;;;
113-63/150/000/76;Плед "Прем`єра" льняний ;Домашній текстиль/Інтер`єрний текстиль/Покривала;Плед "Прем`єра" льняний ;100% льон;130х205 см;1290;pled_premiera1.jpg;;Прованс;;
113-64/150/000/76;Покривало "Прем`єра" льняне ;Домашній текстиль/Інтер`єрний текстиль/Покривала;Покривало "Прем`єра" льняне ;100% льон;210х220 см;2190;pokruvalo_premiera1.jpg,pokruvalo_premiera2.jpg;;Прованс;;
20-23/000/000/18;Скатертина біла;Домашній текстиль/Для кухні/Скатертини;Скатертина біла;100% льон;140х200 см;359;20-21_000_000_18.jpg;Кухонний текстиль;;;
20-30/02к/200/76;Скатертина з мереживом помаранчова;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом помаранчова;100% льон;140х250 см;690;20-23_02k_200_76.jpg;Кухонний текстиль;;;
23-21/333/000/15;Скатертина жакардова "Златовласка" біла;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" біла;100% льон;140х140 см;490;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-21/333/010/23;Скатертина жакардова "Златовласка" сіра;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" сіра;100% льон;140х140 см;490;23-21_333_010_23.jpg;Кухонний текстиль;Жаккард;;
23-23/333/000/15;Скатертина жакардова "Златовласка" біла;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" біла;100% льон;140х200 см;659;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-23/333/010/23;Скатертина жакардова "Златовласка" сіра;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" сіра;100% льон;140х200 см;659;23-21_333_000_23.jpg;Кухонний текстиль;Жаккард;;
23-29/233/004/76;Скатертина жакардова ;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова “Мілан”, сіра;100% льон;110х150 см;360;23-2--233-004-76.jpg;Кухонний текстиль;Прованс;;
23-29/308/033/76;Скатертина “Міла”;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова “Міла”, сіра;100% льон;110х145 см;395;23-24-308-033-76.jpg;Кухонний текстиль;Прованс;;
23-30/233/004/76;Скатертина жакардова ;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова “Мілан”, сіра;100% льон;110х280 см;819;23-2--233-004-76.jpg;Кухонний текстиль;Прованс;;
23-30/333/000/15;Скатертина жакардова "Златовласка" біла;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" біла;100% льон;140х250 см;790;23-21_333_000_15.jpg;Кухонний текстиль;Жаккард;;
23-30/333/010/23;Скатертина жакардова "Златовласка" сіра;Домашній текстиль/Для кухні/Скатертини;Скатертина жакардова "Златовласка" сіра;100% льон;140х250 см;890;23-21_333_000_23.jpg;Кухонний текстиль;Жаккард;;
